.imp,age,race_ethn,year,var,pop,m,q,p,lx,d,L,t,e,c,s,se
2,5,AI/AN,2014,2034,76908,0.026447183647995007,0.026102021174205965,0.973897978825794,81419.88685875769,2125.2236107887584,80357.27505336331,935596.7844666806,11.491010618691936,0.18580113141242316,0.8141988685875768,0.0019412328406544156
2,6,AI/AN,2014,1875,79326,0.02363663868088647,0.02336055616812125,0.9766394438318787,79294.66324796893,1852.3674346364278,78368.47953065071,855239.5094133173,10.785587256217065,0.20705336752031067,0.7929466324796893,0.00189056273994359
2,7,AI/AN,2014,1714,79897,0.021452620248570035,0.021224954801000572,0.9787750451989994,77442.2958133325,1643.7092283237143,76620.44119917064,776871.0298826667,10.031611559595838,0.22557704186667504,0.774422958133325,0.0018463981428677807
2,8,AI/AN,2014,1439,78205,0.018400358033373827,0.018232614714062175,0.9817673852859379,75798.58658500879,1382.0064250749274,75107.58337247133,700250.588683496,9.238306678689302,0.24201413414991213,0.7579858658500879,0.0018072084257407604
2,9,AI/AN,2014,1340,77758,0.01723295352246714,0.017085734686591525,0.9829142653134084,74416.58015993386,1271.4619448961166,73780.8491874858,625143.0053110246,8.400587664301238,0.25583419840066146,0.7441658015993385,0.0017742582908062225
2,10,AI/AN,2014,1240,75855,0.016346977786566474,0.016214449166394244,0.9837855508336057,73145.11821503774,1186.0078010676225,72552.11431450394,551362.156123539,7.537921457760193,0.2685488178496226,0.7314511821503774,0.001743943784384022
2,11,AI/AN,2014,1147,74786,0.015337095178241916,0.01522037699294714,0.9847796230070529,71959.11041397012,1095.2447885777365,71411.48801968124,478810.04180903494,6.653918302415241,0.2804088958602988,0.7195911041397012,0.001715666696543078
2,12,AI/AN,2014,1064,74214,0.014336917562724014,0.014234875444839857,0.9857651245551602,70863.86562539238,1008.7383007173194,70359.49647503372,407398.5537893537,5.749030908686022,0.29136134374607614,0.7086386562539239,0.001689553602627448
2,13,AI/AN,2014,1093,74792,0.014613862445181303,0.014507854549798577,0.9854921454502015,69855.12732467506,1013.4480267840554,69348.40331128304,337039.05731431994,4.824829188955855,0.3014487267532494,0.6985512732467506,0.001665503017536666
2,14,AI/AN,2014,1082,76560,0.014132706374085684,0.014033540421006215,0.9859664595789938,68841.67929789101,966.0924890768947,68358.63305335256,267690.6540030369,3.888496863138516,0.3115832070210899,0.6884167929789101,0.0016413401420059934
